16
Iter:     1 | Cost: 0.4284667 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:     2 | Cost: 0.3556038 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:     3 | Cost: 0.2857830 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:     4 | Cost: 0.2578787 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:     5 | Cost: 0.4716433 | Acc train: 0.8400000 | Acc validation: 0.8000000 
Iter:     6 | Cost: 0.2096388 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:     7 | Cost: 0.1909675 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:     8 | Cost: 0.1784734 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:     9 | Cost: 0.3630586 | Acc train: 0.9600000 | Acc validation: 0.9600000 
Iter:    10 | Cost: 0.2276465 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    11 | Cost: 0.1585331 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    12 | Cost: 0.1889926 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    13 | Cost: 0.1417174 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    14 | Cost: 0.1278484 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    15 | Cost: 0.1564034 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    16 | Cost: 0.1021425 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    17 | Cost: 0.8050018 | Acc train: 0.5333333 | Acc validation: 0.4000000 
Iter:    18 | Cost: 0.4155061 | Acc train: 0.9733333 | Acc validation: 0.9600000 
Iter:    19 | Cost: 0.1584628 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    20 | Cost: 0.1057358 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    21 | Cost: 0.2865105 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    22 | Cost: 0.2394848 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    23 | Cost: 0.1468763 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    24 | Cost: 0.2904435 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    25 | Cost: 0.4758518 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    26 | Cost: 0.2466775 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    27 | Cost: 0.4756001 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    28 | Cost: 0.4259691 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    29 | Cost: 0.3949608 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    30 | Cost: 0.6188257 | Acc train: 0.8533333 | Acc validation: 0.8000000 
Iter:    31 | Cost: 0.5851702 | Acc train: 0.6133333 | Acc validation: 0.6400000 
Iter:    32 | Cost: 0.6895896 | Acc train: 0.6266667 | Acc validation: 0.4400000 
Iter:    33 | Cost: 0.3069665 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    34 | Cost: 0.4030662 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    35 | Cost: 0.2613833 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    36 | Cost: 0.2218579 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    37 | Cost: 0.1300605 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    38 | Cost: 0.4815479 | Acc train: 0.8000000 | Acc validation: 0.8400000 
Iter:    39 | Cost: 0.1917067 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    40 | Cost: 0.2306000 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    41 | Cost: 0.2252739 | Acc train: 0.9866667 | Acc validation: 1.0000000 
