16
Iter:     1 | Cost: 0.6605857 | Acc train: 0.5333333 | Acc validation: 0.6000000 
Iter:     2 | Cost: 0.4460823 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:     3 | Cost: 0.3503407 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:     4 | Cost: 0.3096189 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:     5 | Cost: 0.4179153 | Acc train: 0.9200000 | Acc validation: 0.9200000 
Iter:     6 | Cost: 0.2853335 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:     7 | Cost: 0.2296697 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:     8 | Cost: 0.2494551 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:     9 | Cost: 0.4858579 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    10 | Cost: 0.3434737 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    11 | Cost: 0.3750257 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    12 | Cost: 0.3082024 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    13 | Cost: 0.2270046 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    14 | Cost: 0.3589307 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    15 | Cost: 0.2017549 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    16 | Cost: 0.1671846 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    17 | Cost: 0.4043699 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    18 | Cost: 0.2916876 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    19 | Cost: 0.9653175 | Acc train: 0.5200000 | Acc validation: 0.4000000 
Iter:    20 | Cost: 0.2548736 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    21 | Cost: 0.2630272 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    22 | Cost: 0.8465590 | Acc train: 0.6000000 | Acc validation: 0.4000000 
Iter:    23 | Cost: 0.3717133 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    24 | Cost: 0.3575107 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    25 | Cost: 0.3205660 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    26 | Cost: 0.4376246 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    27 | Cost: 0.3266492 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    28 | Cost: 0.4125282 | Acc train: 0.9733333 | Acc validation: 0.9600000 
Iter:    29 | Cost: 0.4593849 | Acc train: 0.9600000 | Acc validation: 0.8800000 
Iter:    30 | Cost: 0.3296977 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    31 | Cost: 0.5340121 | Acc train: 0.7333333 | Acc validation: 0.6400000 
Iter:    32 | Cost: 0.2715338 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    33 | Cost: 0.4996412 | Acc train: 0.8533333 | Acc validation: 0.8800000 
Iter:    34 | Cost: 0.3439495 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    35 | Cost: 0.3177906 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    36 | Cost: 0.2149160 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    37 | Cost: 0.1909564 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    38 | Cost: 0.5823209 | Acc train: 0.6400000 | Acc validation: 0.6400000 
Iter:    39 | Cost: 0.3943222 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    40 | Cost: 0.4120314 | Acc train: 0.9866667 | Acc validation: 0.9600000 
Iter:    41 | Cost: 0.6492046 | Acc train: 0.9866667 | Acc validation: 0.9600000 
Iter:    42 | Cost: 0.8588058 | Acc train: 0.5333333 | Acc validation: 0.4000000 
Iter:    43 | Cost: 0.6102634 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    44 | Cost: 0.5026539 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    45 | Cost: 0.4626144 | Acc train: 0.9866667 | Acc validation: 0.9600000 
Iter:    46 | Cost: 0.2259039 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    47 | Cost: 0.1772193 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    48 | Cost: 0.2432367 | Acc train: 1.0000000 | Acc validation: 1.0000000 
